Etapa;Probabilidad;Activo;Moneda;MMR esperado;Equipo de ventas;Ganado/Perdido;Índice de Colores;Oportunidad;Ingresos esperados;Cliente;Etiquetas;Propiedades;Prioridad;Actividades;Decoración de Actividad de Excepción;Icono;Estado de la actividad;Resumen de la siguiente actividad;Icono de tipo de actvidad;Tipo de la siguiente actividad;Comercial;Propiedad 1
Cotización enviada / Campañas anteriores;71.43;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Daniel Eduardo Santos;2641.65;;;;Medio;Llamada en frío inicial;;;;;;;contacto@digitalpro.com;
Cotizaciones / Campaña Actual Jun - Jul;90.49;VERDADERO;PAB;0.00;Ventas;Pendiente;0;IT Consulting Group;1622.30;IT Consulting Group;;Contacto vía LinkedIn;Alta;;;;Planificado;Reunión virtual agendada;;;contacto@digitalpro.com;
Ganado / Cerrado;100.00;VERDADERO;PAB;0.00;Ventas;Ganado;0;Carlos Alberto Mendoza;2319.77;;;Contacto vía LinkedIn;Muy alta;;;;;Cierre de venta;;Actividades pendientes;sales@smartanalytics.co;
Ganado / Cerrado;100.00;VERDADERO;PAB;0.00;Ventas;Ganado;0;Daniel Eduardo Santos;2134.24;;;;Muy alta;;;;Planificado;;;;comercial@cloudplus.pa;
Ganado / Cerrado;100.00;VERDADERO;PAB;0.00;Ventas;Ganado;0;Ana Patricia Torres;1687.25;;;Contacto vía LinkedIn;Muy alta;Envío de propuesta comercial;;;Planificado;;;Actividades pendientes;contacto@digitalpro.com;
En seguimiento / Sin respuesta;20.35;VERDADERO;PAB;0.00;Ventas;Pendiente;0;NextGen Software;4970.60;NextGen Software;prospecto,interesado;Contacto vía LinkedIn;Alta;;;;;Presentación de solución;;;contacto@digitalpro.com;
Propuesta declinada;9.58;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Smart Analytics Corp;1470.48;Smart Analytics Corp;prospecto,interesado;;Muy alta;Reunión virtual agendada;;;;;fa-check;;info@innovatehub.pa;
Nuevos Leads / Pendientes;7.52;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Daniel Eduardo Santos;0.00;;prospecto,interesado;;Medio;;;;;Envío de propuesta comercial;;;sales@smartanalytics.co;
Negociación / En ajustes;67.74;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Gabriela Alejandra Cruz;3875.71;;prospecto,interesado;;Medio;Seguimiento a cotización;;;;;;;comercial@cloudplus.pa;
Cotización enviada / Campañas anteriores;74.29;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Innovate Business Hub;4476.61;Innovate Business Hub;prospecto,interesado;Contacto vía LinkedIn;Muy alta;Llamada de seguimiento programada;;;;Llamada de seguimiento programada;;;ventas@techsolutions.pa;
En seguimiento / Sin respuesta;31.46;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Data Insights Panama;3119.96;Data Insights Panama;;;Medio;;;;Planificado;;fa-check;;sales@smartanalytics.co;
Nuevos Leads / Pendientes;22.25;VERDADERO;PAB;0.00;Ventas;Pendiente;0;IT Consulting Group;0.00;IT Consulting Group;;;Muy alta;Seguimiento a cotización;;;;;;;comercial@cloudplus.pa;
En seguimiento / Sin respuesta;22.36;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Data Insights Panama;1302.71;Data Insights Panama;prospecto,interesado;;Alta;;;;;Análisis de requerimientos;;;comercial@cloudplus.pa;
Propuesta declinada;21.34;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Software Development Inc;4482.38;Software Development Inc;;;Muy alta;;;;Planificado;Análisis de requerimientos;;Actividades pendientes;contacto@digitalpro.com;
Calificado - En seguimiento;60.53;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Gabriela Alejandra Cruz;1801.46;;;;Alta;;;;Planificado;;;Actividades pendientes;comercial@cloudplus.pa;
Propuesta declinada;20.57;VERDADERO;PAB;0.00;Ventas;Pendiente;0;María González Ruiz;4766.66;;;;Medio;;;;;Envío de propuesta comercial;;Actividades pendientes;contacto@digitalpro.com;
Cotización enviada / Campañas anteriores;75.80;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Digital Marketing Pro;4060.28;Digital Marketing Pro;;;Alta;;;;;Análisis de requerimientos;fa-check;Actividades pendientes;comercial@cloudplus.pa;
Cotizaciones / Campaña Actual Jun - Jul;84.59;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Sofía Carolina Jiménez;3377.29;;;;Baja;Reunión virtual agendada;;;;Reunión virtual agendada;;;info@innovatehub.pa;
Cotizaciones / Campaña Actual Jun - Jul;77.17;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Ana Patricia Torres;3047.62;;;;Baja;Envío de propuesta comercial;;;Planificado;Envío de propuesta comercial;;Actividades pendientes;contacto@digitalpro.com;
En seguimiento / Sin respuesta;36.46;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Roberto Antonio Silva;1737.90;;prospecto,interesado;Contacto vía LinkedIn;Baja;;;;;;;;info@innovatehub.pa;
Nuevos Leads / Pendientes;3.15;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Carlos Alberto Mendoza;0.00;;;;Baja;Llamada de seguimiento programada;;;;Llamada de seguimiento programada;fa-check;;info@innovatehub.pa;
En seguimiento / Sin respuesta;39.67;VERDADERO;PAB;0.00;Ventas;Pendiente;0;Cloud Services Plus;1589.73;Cloud Services Plus;;;Medio;Envío de propuesta comercial;;;;;;Actividades pendientes;contacto@digitalpro.com;
